genome	contig	length	genome_name	strain_name
GCF_000149245.1_CNA3_genomic.fna	NC_026750.1	1422463	Cryptococcus neoformans	Cryptococcus neoformans var. grubii H99
GCF_000149245.1_CNA3_genomic.fna	NC_026751.1	1399503	Cryptococcus neoformans	Cryptococcus neoformans var. grubii H99
GCF_000149245.1_CNA3_genomic.fna	NC_026752.1	1398693	Cryptococcus neoformans	Cryptococcus neoformans var. grubii H99
GCF_000149245.1_CNA3_genomic.fna	NC_026753.1	1186808	Cryptococcus neoformans	Cryptococcus neoformans var. grubii H99
GCF_000149245.1_CNA3_genomic.fna	NC_026754.1	1059964	Cryptococcus neoformans	Cryptococcus neoformans var. grubii H99
GCF_000149245.1_CNA3_genomic.fna	NC_026755.1	1561994	Cryptococcus neoformans	Cryptococcus neoformans var. grubii H99
GCF_000149245.1_CNA3_genomic.fna	NC_026756.1	774062	Cryptococcus neoformans	Cryptococcus neoformans var. grubii H99
GCF_000149245.1_CNA3_genomic.fna	NC_026757.1	756744	Cryptococcus neoformans	Cryptococcus neoformans var. grubii H99
GCF_000149245.1_CNA3_genomic.fna	NC_026758.1	942867	Cryptococcus neoformans	Cryptococcus neoformans var. grubii H99
GCF_000149245.1_CNA3_genomic.fna	NC_018792.1	24919	Cryptococcus neoformans	Cryptococcus neoformans var. grubii H99
GCF_000182965.3_ASM18296v3_genomic.fna	NC_032089.1	3188341	Candida albicans	Candida albicans SC5314
GCF_000182965.3_ASM18296v3_genomic.fna	NC_032090.1	2231883	Candida albicans	Candida albicans SC5314
GCF_000182965.3_ASM18296v3_genomic.fna	NC_032091.1	1799298	Candida albicans	Candida albicans SC5314
GCF_000182965.3_ASM18296v3_genomic.fna	NC_032092.1	1603259	Candida albicans	Candida albicans SC5314
GCF_000182965.3_ASM18296v3_genomic.fna	NC_032093.1	1190845	Candida albicans	Candida albicans SC5314
GCF_000182965.3_ASM18296v3_genomic.fna	NC_032094.1	1033292	Candida albicans	Candida albicans SC5314
GCF_000182965.3_ASM18296v3_genomic.fna	NC_032095.1	949511	Candida albicans	Candida albicans SC5314
GCF_000182965.3_ASM18296v3_genomic.fna	NC_032096.1	2286237	Candida albicans	Candida albicans SC5314
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040923.1	2953	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040922.1	971331	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040921.1	859245	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040920.1	708683	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040919.1	629653	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040918.1	245506	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040917.1	2500	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040916.1	559697	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040915.1	1745186	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040914.1	152182	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040913.1	2736	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040912.1	2774	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040911.1	3886	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040910.1	2169	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040909.1	257356	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040908.1	2331	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040907.1	831147	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040906.1	1581664	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040905.1	2859	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040904.1	452366	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040903.1	2256	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040902.1	2316	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040901.1	3523	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040900.1	4350	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040899.1	388124	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040898.1	4337	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040897.1	4199	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040896.1	3477	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040895.1	2521	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040894.1	2338	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040893.1	2381	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040892.1	2040	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040891.1	2929	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040890.1	2373	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040889.1	342956	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040888.1	3659	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040887.1	2388	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040886.1	432815	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040885.1	3069	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040884.1	42492	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040883.1	4120	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040882.1	2400	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040881.1	3480	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040880.1	3487	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040879.1	2241	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040878.1	2966	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040877.1	3110	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040876.1	346078	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040875.1	2299	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040874.1	3220982	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040873.1	1792458	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040872.1	2500	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040871.1	235749	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040870.1	261709	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040869.1	2974	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040868.1	1162070	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040867.1	2181	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040866.1	3157	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040865.1	2841	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040864.1	3658	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040863.1	2472	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040862.1	3210	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040861.1	3130	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040860.1	2420	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040859.1	86233	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040858.1	2835	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040857.1	3283	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040856.1	3736	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040855.1	2669337	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040854.1	1660894	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040853.1	2126	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040852.1	2271	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040851.1	2792	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040850.1	2574780	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040849.1	2195	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040848.1	152651	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040847.1	2151	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna	NW_014040924.1	32568	Trichosporon asahii	Trichosporon asahii var. asahii CBS 2479
GCF_001417885.1_Kmar_1.0_genomic.fna	NC_036025.1	1745387	Kluyveromyces marxianus	Kluyveromyces marxianus DMKU3-1042
GCF_001417885.1_Kmar_1.0_genomic.fna	NC_036026.1	1711476	Kluyveromyces marxianus	Kluyveromyces marxianus DMKU3-1042
GCF_001417885.1_Kmar_1.0_genomic.fna	NC_036027.1	1588169	Kluyveromyces marxianus	Kluyveromyces marxianus DMKU3-1042
GCF_001417885.1_Kmar_1.0_genomic.fna	NC_036028.1	1421472	Kluyveromyces marxianus	Kluyveromyces marxianus DMKU3-1042
GCF_001417885.1_Kmar_1.0_genomic.fna	NC_036029.1	1353011	Kluyveromyces marxianus	Kluyveromyces marxianus DMKU3-1042
GCF_001417885.1_Kmar_1.0_genomic.fna	NC_036030.1	1197921	Kluyveromyces marxianus	Kluyveromyces marxianus DMKU3-1042
GCF_001417885.1_Kmar_1.0_genomic.fna	NC_036031.1	963005	Kluyveromyces marxianus	Kluyveromyces marxianus DMKU3-1042
GCF_001417885.1_Kmar_1.0_genomic.fna	NC_036032.1	939718	Kluyveromyces marxianus	Kluyveromyces marxianus DMKU3-1042
GCF_001417885.1_Kmar_1.0_genomic.fna	NC_036023.1	46308	Kluyveromyces marxianus	Kluyveromyces marxianus DMKU3-1042
GCF_001661405.1_Cybja1_genomic.fna	NW_017963652.1	1920980	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963653.1	1287043	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963654.1	1168136	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963655.1	1026931	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963656.1	728740	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963657.1	700888	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963658.1	559626	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963659.1	530739	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963660.1	497619	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963661.1	443799	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963662.1	427184	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963663.1	412519	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963664.1	408295	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963665.1	328414	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963666.1	293672	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963667.1	242554	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963668.1	231665	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963669.1	215405	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963670.1	199374	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963671.1	140667	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963672.1	147198	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963673.1	138598	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963674.1	147686	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963675.1	130859	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963676.1	116615	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963677.1	94575	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963678.1	85838	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963679.1	62638	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
GCF_001661405.1_Cybja1_genomic.fna	NW_017963680.1	67702	Cyberlindnera jadinii	Cyberlindnera jadinii NRRL Y-1542
